entity_id,in_zscore,in_iqr,in_isolation_forest,methods_flagged,university_name,country,year
University of Pennsylvania | United States of America | 2015,1,1,1,3,University of Pennsylvania,United States of America,2015
University of Pittsburgh | United States of America | 2014,1,1,0,2,University of Pittsburgh,United States of America,2014
University of Pittsburgh | United States of America | 2015,1,1,0,2,University of Pittsburgh,United States of America,2015
University of Porto | Portugal | 2012,1,1,0,2,University of Porto,Portugal,2012
University of Rome III | Italy | 2015,1,1,0,2,University of Rome III,Italy,2015
University of Salento | Italy | 2012,1,1,0,2,University of Salento,Italy,2012
University of Salento | Italy | 2013,1,1,0,2,University of Salento,Italy,2013
University of Salento | Italy | 2014,1,1,0,2,University of Salento,Italy,2014
University of Salento | Italy | 2015,1,1,0,2,University of Salento,Italy,2015
University of Science and Technology of China | China | 2012,1,1,0,2,University of Science and Technology of China,China,2012
University of Seoul | South Korea | 2015,1,1,0,2,University of Seoul,South Korea,2015
University of South Australia | Australia | 2014,1,1,0,2,University of South Australia,Australia,2014
University of South Australia | Australia | 2015,1,1,0,2,University of South Australia,Australia,2015
University of St Andrews | United Kingdom | 2012,1,1,0,2,University of St Andrews,United Kingdom,2012
University of St Andrews | United Kingdom | 2013,1,1,0,2,University of St Andrews,United Kingdom,2013
University of St Andrews | United Kingdom | 2014,1,1,0,2,University of St Andrews,United Kingdom,2014
University of St Andrews | United Kingdom | 2015,1,1,1,3,University of St Andrews,United Kingdom,2015
University of Stirling | United Kingdom | 2014,1,1,0,2,University of Stirling,United Kingdom,2014
University of Stirling | United Kingdom | 2015,1,1,0,2,University of Stirling,United Kingdom,2015
University of Strathclyde | United Kingdom | 2012,1,1,0,2,University of Strathclyde,United Kingdom,2012
University of Stuttgart | Germany | 2014,1,1,0,2,University of Stuttgart,Germany,2014
University of Stuttgart | Germany | 2015,1,1,0,2,University of Stuttgart,Germany,2015
University of Surrey | United Kingdom | 2012,1,1,0,2,University of Surrey,United Kingdom,2012
University of Surrey | United Kingdom | 2013,1,1,0,2,University of Surrey,United Kingdom,2013
University of Surrey | United Kingdom | 2015,1,1,0,2,University of Surrey,United Kingdom,2015
University of Sydney | Australia | 2012,0,1,1,2,University of Sydney,Australia,2012
University of São Paulo | Brazil | 2012,1,1,1,3,University of São Paulo,Brazil,2012
University of São Paulo | Brazil | 2013,1,1,1,3,University of São Paulo,Brazil,2013
University of São Paulo | Brazil | 2014,1,1,1,3,University of São Paulo,Brazil,2014
University of São Paulo | Brazil | 2015,1,1,1,3,University of São Paulo,Brazil,2015
University of Tartu | Estonia | 2012,1,1,0,2,University of Tartu,Estonia,2012
University of Technology Sydney | Australia | 2013,1,1,0,2,University of Technology Sydney,Australia,2013
University of Technology Sydney | Australia | 2014,1,1,0,2,University of Technology Sydney,Australia,2014
University of Technology Sydney | Australia | 2015,1,1,0,2,University of Technology Sydney,Australia,2015
University of Texas at Austin | United States of America | 2012,0,1,1,2,University of Texas at Austin,United States of America,2012
University of Texas at Austin | United States of America | 2013,0,1,1,2,University of Texas at Austin,United States of America,2013
University of Texas at Austin | United States of America | 2014,0,1,1,2,University of Texas at Austin,United States of America,2014
University of Texas at Austin | United States of America | 2015,0,1,1,2,University of Texas at Austin,United States of America,2015
University of Tokyo | Japan | 2012,1,1,1,3,University of Tokyo,Japan,2012
University of Tokyo | Japan | 2013,1,1,1,3,University of Tokyo,Japan,2013
University of Tokyo | Japan | 2014,1,1,1,3,University of Tokyo,Japan,2014
University of Tokyo | Japan | 2015,1,1,1,3,University of Tokyo,Japan,2015
University of Toronto | Canada | 2012,1,1,1,3,University of Toronto,Canada,2012
University of Toronto | Canada | 2013,1,1,1,3,University of Toronto,Canada,2013
University of Toronto | Canada | 2014,1,1,1,3,University of Toronto,Canada,2014
University of Toronto | Canada | 2015,1,1,1,3,University of Toronto,Canada,2015
University of Trento | Italy | 2012,1,1,0,2,University of Trento,Italy,2012
University of Trento | Italy | 2013,1,1,0,2,University of Trento,Italy,2013
University of Trento | Italy | 2014,1,1,0,2,University of Trento,Italy,2014
University of Trento | Italy | 2015,1,1,0,2,University of Trento,Italy,2015
University of Turin | Italy | 2013,1,1,0,2,University of Turin,Italy,2013
University of Turin | Italy | 2014,1,1,1,3,University of Turin,Italy,2014
University of Turin | Italy | 2015,1,1,1,3,University of Turin,Italy,2015
University of Vigo | Spain | 2014,1,1,0,2,University of Vigo,Spain,2014
University of Waikato | New Zealand | 2014,1,1,0,2,University of Waikato,New Zealand,2014
University of Waikato | New Zealand | 2015,1,1,0,2,University of Waikato,New Zealand,2015
University of Washington | United States of America | 2013,0,1,1,2,University of Washington,United States of America,2013
University of Wisconsin-Madison | United States of America | 2012,0,1,1,2,University of Wisconsin-Madison,United States of America,2012
University of Wisconsin-Madison | United States of America | 2013,0,1,1,2,University of Wisconsin-Madison,United States of America,2013
University of Wisconsin-Madison | United States of America | 2014,0,1,1,2,University of Wisconsin-Madison,United States of America,2014
University of Wisconsin-Madison | United States of America | 2015,0,1,1,2,University of Wisconsin-Madison,United States of America,2015
"University of the Andes, Colombia | Colombia | 2013",1,1,0,2,"University of the Andes, Colombia",Colombia,2013
Vienna University of Technology | Austria | 2012,1,1,0,2,Vienna University of Technology,Austria,2012
Vienna University of Technology | Austria | 2013,1,1,0,2,Vienna University of Technology,Austria,2013
Vienna University of Technology | Austria | 2014,1,1,0,2,Vienna University of Technology,Austria,2014
Vienna University of Technology | Austria | 2015,1,1,0,2,Vienna University of Technology,Austria,2015
Wake Forest University | United States of America | 2012,1,1,1,3,Wake Forest University,United States of America,2012
Wake Forest University | United States of America | 2013,1,1,1,3,Wake Forest University,United States of America,2013
Wake Forest University | United States of America | 2014,1,1,1,3,Wake Forest University,United States of America,2014
Wake Forest University | United States of America | 2015,1,1,1,3,Wake Forest University,United States of America,2015
Waseda University | Japan | 2012,0,1,1,2,Waseda University,Japan,2012
Waseda University | Japan | 2014,0,1,1,2,Waseda University,Japan,2014
Waseda University | Japan | 2015,1,1,1,3,Waseda University,Japan,2015
Wuhan University of Technology | China | 2014,1,1,1,3,Wuhan University of Technology,China,2014
Wuhan University of Technology | China | 2015,1,1,1,3,Wuhan University of Technology,China,2015
Yale University | United States of America | 2012,1,1,1,3,Yale University,United States of America,2012
Yale University | United States of America | 2013,1,1,1,3,Yale University,United States of America,2013
Yale University | United States of America | 2014,1,1,1,3,Yale University,United States of America,2014
Yale University | United States of America | 2015,1,1,1,3,Yale University,United States of America,2015
Yeshiva University | United States of America | 2012,1,1,0,2,Yeshiva University,United States of America,2012
Yeshiva University | United States of America | 2013,1,1,0,2,Yeshiva University,United States of America,2013
Yeshiva University | United States of America | 2014,1,1,0,2,Yeshiva University,United States of America,2014
Yeshiva University | United States of America | 2015,1,1,0,2,Yeshiva University,United States of America,2015
Yonsei University | South Korea | 2013,1,1,0,2,Yonsei University,South Korea,2013
Yuan Ze University | Taiwan | 2012,1,1,1,3,Yuan Ze University,Taiwan,2012
Yuan Ze University | Taiwan | 2014,0,1,1,2,Yuan Ze University,Taiwan,2014
Yuan Ze University | Taiwan | 2015,0,1,1,2,Yuan Ze University,Taiwan,2015
École Normale Supérieure de Lyon | France | 2014,1,1,1,3,École Normale Supérieure de Lyon,France,2014
École Normale Supérieure de Lyon | France | 2015,1,1,1,3,École Normale Supérieure de Lyon,France,2015
École Normale Supérieure | France | 2012,1,1,1,3,École Normale Supérieure,France,2012
École Normale Supérieure | France | 2013,1,1,1,3,École Normale Supérieure,France,2013
École Normale Supérieure | France | 2014,1,1,1,3,École Normale Supérieure,France,2014
École Normale Supérieure | France | 2015,1,1,1,3,École Normale Supérieure,France,2015
École Polytechnique Fédérale de Lausanne | Switzerland | 2012,1,1,1,3,École Polytechnique Fédérale de Lausanne,Switzerland,2012
École Polytechnique Fédérale de Lausanne | Switzerland | 2013,1,1,1,3,École Polytechnique Fédérale de Lausanne,Switzerland,2013
École Polytechnique Fédérale de Lausanne | Switzerland | 2014,1,1,1,3,École Polytechnique Fédérale de Lausanne,Switzerland,2014
École Polytechnique Fédérale de Lausanne | Switzerland | 2015,1,1,1,3,École Polytechnique Fédérale de Lausanne,Switzerland,2015
École Polytechnique | France | 2012,1,1,1,3,École Polytechnique,France,2012
École Polytechnique | France | 2013,1,1,1,3,École Polytechnique,France,2013
École Polytechnique | France | 2014,1,1,1,3,École Polytechnique,France,2014
École Polytechnique | France | 2015,1,1,1,3,École Polytechnique,France,2015
