country,year,world_rank_mean,world_rank_median,the_best_world_rank,cwur_world_rank_mean,cwur_world_rank_median,the_best_cwur_world_rank,teaching_mean,international_mean,citations_mean,cwur_score_mean,total_students_covered,avg_students_per_university,avg_international_student_share,student_staff_ratio_mean,cwur_quality_of_education_mean,cwur_alumni_employment_mean,cwur_quality_of_faculty_mean,cwur_publications_mean,cwur_influence_mean,cwur_citations_mean,rank_gap_mean,faculty_efficiency_mean,global_influence_index_mean
United Arab Emirates,2014,924.0,924.0,924.0,924.0,924.0,924,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,355.0,478.0,210.0,983.0,821.0,800.0,0.0,12.96,0.86
United Arab Emirates,2015,950.0,950.0,950.0,950.0,950.0,950,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,367.0,521.0,218.0,994.0,851.0,812.0,0.0,13.46,0.89
United Kingdom,2012,179.85,153.5,4.0,181.31,153.5,4,35.15,76.92,60.59,47.85,887320.0,17063.85,0.29,15.95,237.88,305.54,176.63,357.13,309.27,298.77,-1.46,10.98,0.11
United Kingdom,2013,176.31,164.5,2.0,178.08,164.5,3,39.87,76.49,69.42,48.71,801274.0,16693.21,0.3,15.62,230.75,303.19,174.48,332.1,290.06,266.4,-1.77,11.03,0.1
United Kingdom,2014,284.46,201.0,2.0,403.74,345.0,4,34.02,72.33,65.27,48.45,1140900.0,17552.31,0.26,16.0,251.75,314.8,179.29,434.29,380.6,352.23,-119.28,11.15,-0.2
United Kingdom,2015,322.17,213.5,3.0,419.14,341.5,4,34.56,72.83,66.35,47.91,1161851.0,17603.8,0.26,16.01,264.17,353.61,183.05,439.8,387.58,351.15,-96.97,11.36,-0.19
United States of America,2012,140.75,118.5,1.0,133.56,86.5,1,46.78,35.67,70.96,51.85,2829562.0,23979.34,0.14,14.05,182.54,187.68,125.12,213.42,192.61,171.49,7.19,10.1,-0.12
United States of America,2013,145.64,124.0,1.0,137.49,89.0,1,50.48,38.69,75.96,51.83,2783220.0,24201.91,0.14,13.73,176.43,176.09,124.75,198.14,178.7,156.83,8.16,10.4,-0.14
United States of America,2014,335.96,276.0,1.0,352.56,297.0,1,39.35,45.31,68.08,50.69,5284500.0,22391.95,0.14,15.04,258.44,292.37,169.44,417.25,345.12,311.02,-16.6,12.27,-0.23
United States of America,2015,344.55,300.0,1.0,358.83,301.0,1,39.33,46.58,68.1,50.29,5270592.0,22428.05,0.14,15.02,264.93,316.56,172.7,422.0,352.0,330.37,-14.27,12.42,-0.21
Uruguay,2014,933.0,933.0,933.0,933.0,933.0,933,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,355.0,478.0,210.0,940.0,744.0,800.0,0.0,12.96,0.77
Uruguay,2015,867.0,867.0,867.0,867.0,867.0,867,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,367.0,567.0,218.0,814.0,669.0,812.0,0.0,13.46,0.67
