country,year,world_rank_mean,world_rank_median,the_best_world_rank,cwur_world_rank_mean,cwur_world_rank_median,the_best_cwur_world_rank,teaching_mean,international_mean,citations_mean,cwur_score_mean,total_students_covered,avg_students_per_university,avg_international_student_share,student_staff_ratio_mean,cwur_quality_of_education_mean,cwur_alumni_employment_mean,cwur_quality_of_faculty_mean,cwur_publications_mean,cwur_influence_mean,cwur_citations_mean,rank_gap_mean,faculty_efficiency_mean,global_influence_index_mean
India,2015,592.69,607.5,276.0,650.12,626.0,341,32.92,37.13,57.68,44.5,249422.0,15588.88,0.08,16.16,322.94,363.31,217.44,686.62,826.94,618.69,-57.44,14.09,0.47
Iran,2012,301.0,301.0,301.0,301.0,301.0,301,28.5,12.7,19.3,44.0,10977.0,10977.0,0.0,18.7,236.0,522.0,214.0,576.0,944.0,502.0,0.0,11.44,0.8
Iran,2013,301.0,301.0,301.0,301.0,301.0,301,32.9,16.7,34.2,44.0,10977.0,10977.0,0.0,18.7,236.0,522.0,214.0,576.0,944.0,502.0,0.0,11.44,0.86
Iran,2014,833.88,947.0,251.0,906.62,947.0,749,31.65,43.64,59.19,44.12,147647.0,18455.88,0.11,17.8,332.0,478.0,210.0,711.75,949.62,651.62,-72.75,12.12,0.72
Iran,2015,753.88,883.0,301.0,873.75,913.0,697,31.52,43.48,59.36,44.0,147647.0,18455.88,0.11,17.8,312.38,567.0,218.0,712.12,948.88,711.75,-119.88,12.58,0.78
Ireland,2014,652.5,733.0,200.0,652.5,733.0,200,31.52,59.2,57.82,45.25,65326.0,16331.5,0.26,16.05,346.0,375.5,205.75,704.5,700.0,438.25,0.0,12.83,0.1
Ireland,2015,669.67,843.0,185.0,669.67,843.0,185,33.8,51.4,62.6,45.33,62853.0,20951.0,0.14,16.2,357.33,391.33,212.0,661.33,676.33,479.33,0.0,13.09,0.23
Israel,2012,161.4,166.0,18.0,89.6,51.0,18,39.08,46.08,38.74,54.0,93898.0,18779.6,0.06,17.34,88.6,156.8,67.2,157.0,152.2,206.2,71.8,3.98,-0.58
Israel,2013,130.25,147.5,33.0,44.25,45.0,21,44.52,49.28,51.82,52.5,76395.0,19098.75,0.07,17.67,41.75,101.0,32.0,96.5,95.75,101.0,86.0,1.72,-0.8
Israel,2014,313.0,201.0,38.0,259.57,109.0,22,35.3,51.01,50.21,52.29,135800.0,19400.0,0.09,17.01,160.57,332.14,102.57,272.0,245.86,390.0,53.43,6.2,-0.69
Israel,2015,314.14,201.0,39.0,264.86,136.0,23,35.89,51.6,51.17,51.14,135800.0,19400.0,0.09,17.01,167.14,335.57,113.71,266.57,252.29,397.71,49.29,6.88,-0.66
Italy,2012,282.93,301.0,226.0,266.93,288.5,77,23.31,33.95,48.69,45.71,611134.0,43652.43,0.07,34.15,296.36,441.86,196.57,328.07,387.5,349.43,16.0,7.1,0.14
Italy,2013,295.64,301.0,251.0,278.57,288.5,62,26.07,36.97,59.31,46.07,622375.0,44455.36,0.06,35.71,287.57,427.43,192.57,309.07,353.93,296.43,17.07,6.63,0.07
Italy,2014,483.85,455.0,201.0,504.13,466.0,91,30.46,46.81,62.9,45.64,1363975.0,29020.74,0.11,23.15,328.79,454.98,198.26,471.85,498.85,478.21,-20.28,10.43,0.05
Italy,2015,468.83,421.5,63.0,490.38,451.0,112,30.82,47.43,63.7,45.21,1400328.0,29173.5,0.11,23.95,337.08,516.48,203.71,476.92,500.31,458.9,-21.54,10.54,0.02
Japan,2012,225.69,251.0,30.0,206.56,251.0,14,44.62,21.16,39.42,51.56,302162.0,18885.12,0.08,8.74,210.44,222.0,139.12,243.06,234.06,246.69,19.12,17.94,-0.38
Japan,2013,217.38,251.0,27.0,171.46,128.0,14,49.33,26.02,50.75,52.31,265726.0,20440.46,0.09,8.37,184.46,166.23,121.62,189.77,181.0,198.92,45.92,17.22,-0.52
Japan,2014,552.18,586.5,23.0,548.23,586.5,13,35.51,45.9,58.98,46.95,1517320.0,20504.32,0.13,14.59,303.86,373.58,193.7,637.07,552.74,497.84,3.95,14.14,0.04
Japan,2015,590.04,623.0,23.0,579.58,623.0,13,35.34,46.45,59.37,46.19,1517320.0,20504.32,0.13,14.59,315.26,441.74,201.65,667.43,568.86,538.49,10.46,14.76,0.1
Lebanon,2014,561.0,561.0,561.0,561.0,561.0,561,33.8,51.4,62.6,45.0,20951.0,20951.0,0.14,16.2,103.0,205.0,210.0,892.0,850.0,800.0,0.0,12.96,0.89
Lebanon,2015,682.0,682.0,682.0,682.0,682.0,682,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,114.0,247.0,218.0,915.0,892.0,812.0,0.0,13.46,0.93
Lithuania,2014,838.0,838.0,838.0,838.0,838.0,838,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,326.0,478.0,210.0,790.0,728.0,609.0,0.0,12.96,0.49
Lithuania,2015,791.0,791.0,791.0,791.0,791.0,791,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,340.0,567.0,218.0,799.0,642.0,645.0,0.0,13.46,0.41
Macau,2015,276.0,276.0,276.0,276.0,276.0,276,17.1,73.3,68.1,45.0,8521.0,8521.0,0.31,14.9,355.0,424.0,210.0,404.0,404.0,368.0,0.0,14.09,-0.1
Malaysia,2014,528.33,492.0,315.0,528.33,492.0,315,33.8,51.4,62.6,45.33,62853.0,20951.0,0.14,16.2,355.0,357.0,210.0,767.33,894.67,634.0,0.0,12.96,0.72
Malaysia,2015,530.0,498.0,482.0,530.0,498.0,482,33.8,51.4,62.6,44.67,62853.0,20951.0,0.14,16.2,367.0,424.0,218.0,700.33,888.33,556.0,0.0,13.46,0.58
Mexico,2013,351.0,351.0,351.0,351.0,351.0,351,31.0,33.2,24.6,46.0,137378.0,137378.0,0.05,11.6,290.0,512.0,214.0,190.0,212.0,387.0,0.0,18.45,-0.63
Mexico,2014,546.0,546.0,337.0,546.0,546.0,337,32.4,42.3,43.6,45.5,158329.0,79164.5,0.1,13.9,310.5,478.0,210.0,365.0,388.0,406.0,0.0,15.53,-0.66
Mexico,2015,560.0,560.0,334.0,560.0,560.0,334,32.4,42.3,43.6,45.0,158329.0,79164.5,0.1,13.9,306.0,556.5,218.0,386.0,399.0,398.0,0.0,16.12,-0.68
Morocco,2015,301.0,301.0,301.0,301.0,301.0,301,16.3,45.1,83.0,45.0,56060.0,56060.0,0.01,38.7,355.0,424.0,210.0,404.0,404.0,368.0,0.0,5.43,0.27
Netherlands,2012,137.69,134.0,68.0,140.54,134.0,75,36.5,62.13,60.98,47.31,225877.0,17375.15,0.17,17.42,269.54,300.62,183.85,185.38,262.31,199.85,-2.85,11.0,-0.12
Netherlands,2013,108.15,89.0,64.0,109.46,89.0,64,44.98,60.94,66.9,47.92,225877.0,17375.15,0.17,17.42,271.08,329.62,184.0,183.46,259.92,198.85,-1.31,11.01,-0.11
Netherlands,2014,108.92,98.0,67.0,234.85,144.0,88,37.47,63.6,68.05,48.31,225877.0,17375.15,0.17,17.42,268.31,333.15,179.92,186.15,259.46,216.69,-125.92,10.76,-0.46
Netherlands,2015,119.31,101.0,64.0,228.31,134.0,85,38.75,65.55,66.92,48.15,225877.0,17375.15,0.17,17.42,273.54,346.69,191.0,180.62,260.92,179.69,-109.0,11.43,-0.55
New Zealand,2012,262.83,276.0,173.0,262.83,276.0,173,19.55,85.3,42.93,45.33,106976.0,17829.33,0.22,18.43,300.5,342.67,214.0,546.33,485.0,468.5,0.0,11.72,0.4
New Zealand,2013,265.17,276.0,161.0,265.17,276.0,161,23.65,84.18,53.75,45.33,106976.0,17829.33,0.22,18.43,300.5,342.67,214.0,546.33,485.0,468.5,0.0,11.72,0.47
New Zealand,2014,316.0,288.5,164.0,524.83,507.0,273,20.98,83.61,52.72,45.33,106976.0,17829.33,0.22,18.43,294.0,321.67,210.0,550.0,479.17,451.17,-208.83,11.5,-0.27
New Zealand,2015,335.33,288.5,175.0,556.5,560.5,266,22.55,82.84,52.44,44.83,106976.0,17829.33,0.22,18.43,307.17,364.0,218.0,542.5,490.5,486.17,-221.17,11.94,-0.23
Norway,2012,224.75,221.0,181.0,202.25,221.0,91,28.45,64.65,54.08,45.5,66541.0,16635.25,0.12,14.0,264.75,297.0,151.25,255.0,266.75,233.25,22.5,12.2,-0.15
Norway,2013,244.75,238.5,201.0,214.75,238.5,81,29.42,62.32,58.92,46.0,66541.0,16635.25,0.12,14.0,264.75,297.0,151.5,255.0,266.75,233.25,30.0,12.21,-0.18
Norway,2014,390.0,301.0,185.0,400.83,328.0,111,30.55,58.3,60.72,46.33,108443.0,18073.83,0.13,14.73,298.33,381.17,182.33,380.83,346.17,300.67,-10.83,13.25,-0.43
Norway,2015,388.33,313.5,186.0,382.0,317.0,99,31.23,57.18,60.47,46.33,108443.0,18073.83,0.13,14.73,293.5,421.67,163.17,380.0,347.0,281.83,6.33,11.88,-0.48
Poland,2012,301.0,301.0,301.0,301.0,301.0,301,23.35,37.65,43.7,45.0,92127.0,46063.5,0.06,12.8,239.5,521.0,181.0,402.0,470.5,511.5,0.0,14.55,0.46
Poland,2013,351.0,351.0,351.0,351.0,351.0,351,22.95,40.75,51.1,45.0,92127.0,46063.5,0.06,12.8,239.5,521.0,181.0,402.0,470.5,511.5,0.0,14.55,0.47
Poland,2014,745.22,878.0,301.0,758.33,878.0,419,31.02,49.24,61.66,44.44,238784.0,26531.56,0.12,15.44,300.67,442.89,202.78,675.0,748.78,599.22,-13.11,13.25,0.48
Poland,2015,756.67,890.0,301.0,774.56,890.0,451,31.26,49.11,61.54,44.22,238784.0,26531.56,0.12,15.44,300.22,514.44,210.44,685.0,758.22,555.0,-17.89,13.75,0.4
Portugal,2012,325.5,325.5,301.0,325.5,325.5,301,18.32,48.62,35.12,45.25,85173.0,21293.25,0.09,18.38,289.5,460.0,182.0,376.5,470.0,453.0,0.0,9.95,0.25
Portugal,2013,351.0,351.0,351.0,351.0,351.0,351,21.6,45.33,50.13,45.33,62601.0,20867.0,0.09,18.47,270.0,472.0,172.67,424.33,567.67,380.67,0.0,9.4,0.37
Portugal,2014,524.57,545.0,278.0,562.71,553.0,278,25.0,49.25,48.61,45.29,175147.0,25021.0,0.11,17.76,311.14,470.71,183.71,476.14,538.71,494.29,-38.14,10.44,-0.24
Portugal,2015,526.0,507.0,308.0,552.29,557.0,257,25.43,49.55,50.08,44.86,175147.0,25021.0,0.11,17.76,322.57,516.57,190.29,467.0,536.14,480.14,-26.29,10.81,-0.25
Puerto Rico,2014,977.0,977.0,977.0,977.0,977.0,977,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,355.0,478.0,210.0,999.0,778.0,609.0,0.0,12.96,0.55
Puerto Rico,2015,962.0,962.0,962.0,962.0,962.0,962,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,367.0,567.0,218.0,998.0,793.0,645.0,0.0,13.46,0.59
Republic of Ireland,2012,255.4,301.0,117.0,255.4,301.0,117,23.38,79.4,51.0,45.0,75239.0,15047.8,0.18,23.92,279.0,393.0,212.4,621.2,512.6,500.0,0.0,9.1,0.61
Republic of Ireland,2013,250.0,301.0,110.0,250.0,301.0,110,29.32,74.2,58.08,45.0,75239.0,15047.8,0.18,23.92,279.0,393.0,212.4,621.2,512.6,500.0,0.0,9.1,0.64
Republic of Ireland,2014,243.6,276.0,129.0,500.2,463.0,129,27.36,74.48,60.88,45.0,75239.0,15047.8,0.18,23.92,273.4,384.2,210.0,620.6,516.0,504.8,-256.6,9.0,0.05
Republic of Ireland,2015,248.4,251.0,138.0,475.2,436.0,138,29.84,77.68,60.5,45.0,70059.0,14011.8,0.28,21.44,314.8,420.0,216.4,599.6,508.8,408.8,-226.8,10.49,-0.11
Romania,2014,957.0,957.0,957.0,957.0,957.0,957,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,321.0,478.0,210.0,837.0,776.0,609.0,0.0,12.96,0.55
Romania,2015,986.5,986.5,986.0,986.5,986.5,986,33.8,51.4,62.6,44.0,41902.0,20951.0,0.14,16.2,302.0,567.0,218.0,859.5,829.5,728.5,0.0,13.46,0.75
Russia,2014,600.5,600.5,285.0,600.5,600.5,285,31.1,40.95,36.8,45.0,27967.0,13983.5,0.1,6.15,92.0,303.5,210.0,747.0,765.0,609.0,0.0,34.98,-0.11
Russia,2015,470.33,406.0,250.0,470.33,406.0,250,35.07,46.97,42.77,45.33,62738.0,20912.67,0.12,12.53,125.33,385.33,218.0,842.33,626.0,628.33,0.0,22.95,-0.12
Russian Federation,2012,313.0,313.0,276.0,313.0,313.0,276,42.75,45.7,7.05,50.0,51658.0,25829.0,0.14,6.45,28.0,182.5,132.0,442.0,422.0,457.0,0.0,23.82,-0.22
Russian Federation,2013,213.5,213.5,201.0,158.0,158.0,90,42.2,34.55,59.85,45.0,38623.0,19311.5,0.14,7.5,184.5,262.5,130.5,252.5,252.5,234.5,55.5,17.7,-0.18
Russian Federation,2014,226.0,226.0,226.0,48.0,48.0,48,54.4,55.7,27.0,56.0,30822.0,30822.0,0.2,7.7,14.0,210.0,50.0,264.0,247.0,310.0,178.0,6.49,-1.38
Russian Federation,2015,248.5,248.5,196.0,522.0,522.0,59,40.25,52.1,52.15,49.0,37953.0,18976.5,0.16,7.4,90.5,371.0,133.0,543.5,556.0,466.0,-273.5,18.47,-0.19
Saudi Arabia,2013,301.0,301.0,301.0,301.0,301.0,301,19.7,71.0,63.4,44.0,35889.0,35889.0,0.21,8.4,361.0,460.0,214.0,719.0,559.0,627.0,0.0,25.48,1.03
Saudi Arabia,2014,544.25,509.5,351.0,721.75,737.5,420,26.8,62.32,53.92,44.75,118457.0,29614.25,0.14,13.55,355.0,327.75,186.75,801.75,700.75,752.25,-177.5,15.21,0.44
Saudi Arabia,2015,778.75,775.5,569.0,778.75,775.5,569,26.99,61.91,54.58,44.25,118457.0,29614.25,0.14,13.55,367.0,358.0,195.0,695.0,612.0,728.5,0.0,15.86,0.29
Serbia,2014,809.0,809.0,809.0,809.0,809.0,809,33.8,51.4,62.6,45.0,20951.0,20951.0,0.14,16.2,280.0,478.0,210.0,448.0,702.0,493.0,0.0,12.96,0.3
Serbia,2015,726.0,726.0,726.0,726.0,726.0,726,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,276.0,567.0,218.0,422.0,694.0,511.0,0.0,13.46,0.3
Singapore,2012,104.5,104.5,40.0,104.5,104.5,40,53.55,91.4,48.95,51.0,56620.0,28310.0,0.34,15.85,358.0,310.5,212.0,71.5,249.5,147.0,0.0,13.38,-0.39
Singapore,2013,57.5,57.5,29.0,86.5,86.5,86,60.05,91.4,60.85,47.0,56620.0,28310.0,0.34,15.85,231.0,311.5,157.5,75.0,237.5,133.0,-29.0,9.86,-0.37
Singapore,2014,51.0,51.0,26.0,111.0,111.0,74,52.85,92.65,66.95,51.5,56620.0,28310.0,0.34,15.85,355.0,288.5,210.0,73.5,261.5,167.0,-60.0,13.26,-0.56
Singapore,2015,43.0,43.0,25.0,100.0,100.0,65,57.95,93.7,70.95,51.0,56620.0,28310.0,0.34,15.85,367.0,332.5,218.0,68.0,243.0,145.0,-57.0,13.76,-0.52
Slovak Republic,2014,732.0,732.0,732.0,732.0,732.0,732,33.8,51.4,62.6,45.0,20951.0,20951.0,0.14,16.2,355.0,478.0,210.0,709.0,625.0,493.0,0.0,12.96,0.21
Slovak Republic,2015,685.0,685.0,685.0,685.0,685.0,685,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,367.0,567.0,218.0,707.0,624.0,645.0,0.0,13.46,0.39
Slovenia,2014,682.0,682.0,525.0,682.0,682.0,525,33.8,51.4,62.6,44.5,41902.0,20951.0,0.14,16.2,355.0,478.0,210.0,606.0,629.5,459.5,0.0,12.96,0.17
Slovenia,2015,662.0,662.0,504.0,662.0,662.0,504,33.8,51.4,62.6,44.5,41902.0,20951.0,0.14,16.2,367.0,567.0,218.0,597.0,617.5,416.0,0.0,13.46,0.08
South Africa,2012,201.67,251.0,103.0,201.67,251.0,103,28.43,63.33,48.2,47.67,65210.0,21736.67,0.12,17.9,177.0,81.0,176.0,435.67,325.67,286.33,0.0,10.11,-0.06
South Africa,2013,235.25,238.5,113.0,235.25,238.5,113,29.18,61.05,54.6,47.0,95782.0,23945.5,0.1,19.65,223.0,97.0,185.5,470.0,348.25,299.5,0.0,9.73,-0.02
South Africa,2014,344.2,301.0,126.0,352.0,311.0,114,25.82,59.94,58.02,46.6,116733.0,23346.6,0.11,18.96,248.2,127.4,188.2,503.0,394.4,328.6,-7.8,10.27,-0.4
South Africa,2015,361.4,276.0,124.0,371.8,306.0,149,26.96,59.68,60.42,46.2,116733.0,23346.6,0.11,18.96,253.2,126.8,194.4,492.6,377.2,351.0,-10.4,10.6,-0.35
South Korea,2012,196.29,226.0,53.0,189.29,226.0,53,47.81,25.04,40.14,48.14,136009.0,19429.86,0.11,14.16,306.86,212.14,197.86,202.57,342.86,286.86,7.0,14.96,-0.15
